customer_id,age,city,account_length_months,contract_type,monthly_minutes,monthly_data_gb,monthly_sms,monthly_charge,late_payments,international_calls,customer_service_calls,device_age_months,churned,is_fraud
CUST_000001,40,Accra,31,Postpaid,351,4.56,42,50.87,0,4,2,32,0,0
CUST_000002,37,Sekondi-Takoradi,13,Prepaid,59,1.72,52,31.59,0,0,1,12,0,0
CUST_000003,27,Accra,2,Postpaid,1040,5.76,49,88.42,0,4,0,6,0,0
CUST_000004,43,Accra,2,Prepaid,478,1.09,33,49.38,0,3,0,14,0,0
CUST_000005,41,Sekondi-Takoradi,31,Prepaid,980,7.38,37,87.46,0,3,1,6,0,0
CUST_000006,34,Tamale,3,Prepaid,1100,6.25,56,93.1,0,1,0,1,0,0
CUST_000007,32,Koforidua,12,Prepaid,576,7.04,44,67.28,0,0,4,40,0,0
CUST_000008,26,Ho,6,Prepaid,290,2.79,48,44.88,0,0,1,21,0,0
CUST_000009,34,Sekondi-Takoradi,8,Prepaid,75,1.68,50,32.11,0,4,0,12,1,0
CUST_000010,25,Accra,31,Prepaid,874,2.29,53,73.58,0,0,1,1,0,0
CUST_000011,18,Tema,24,Postpaid,432,0.96,54,48.92,1,0,0,37,0,0
CUST_000012,51,Accra,6,Prepaid,5111,0.49,53,281.83,0,2,4,41,1,0
CUST_000013,37,Accra,28,Prepaid,119,5.28,44,40.91,0,0,3,1,0,0
CUST_000014,34,Accra,53,Postpaid,567,4.99,57,64.03,0,1,0,5,0,0
CUST_000015,32,Tamale,1,Prepaid,823,13.18,48,92.31,0,3,0,14,1,0
CUST_000016,37,Koforidua,110,Prepaid,179,0.75,50,35.45,1,2,0,29,0,0
CUST_000017,41,Accra,38,Prepaid,19010,5.25,54,986.4,1,0,0,1,0,0
CUST_000018,30,Cape Coast,1,Prepaid,437,8.65,47,63.85,0,0,1,13,0,0
CUST_000019,35,Cape Coast,9,Prepaid,627,7.93,45,71.71,0,0,3,3,0,0
CUST_000020,19,Accra,74,Postpaid,1010,6.7,51,89.0,0,0,0,1,0,0
CUST_000021,40,Tamale,15,Postpaid,875,0.51,50,69.77,0,1,1,1,0,0
CUST_000022,39,Koforidua,4,Prepaid,1001,0.37,53,76.09,1,0,1,51,0,0
CUST_000023,38,Ho,1,Prepaid,216,1.92,58,40.44,0,2,3,3,1,0
CUST_000024,18,Koforidua,35,Postpaid,119,2.08,63,36.41,0,2,1,12,0,0
CUST_000025,38,Kumasi,72,Prepaid,354,4.26,53,51.52,0,0,3,12,0,0
CUST_000026,31,Ho,2,Postpaid,901,0.77,56,72.19,0,2,0,22,0,0
CUST_000027,18,Accra,40,Prepaid,98,14.71,47,59.02,1,1,1,1,0,0
CUST_000028,38,Koforidua,32,Postpaid,176,4.38,69,44.46,0,4,0,1,1,0
CUST_000029,37,Sekondi-Takoradi,1,Prepaid,408,4.04,53,53.78,0,1,1,54,1,0
CUST_000030,24,Sekondi-Takoradi,14,Postpaid,221,2.18,52,40.61,3,0,2,31,1,0
CUST_000031,43,Tema,48,Prepaid,353,0.23,41,42.21,0,7,2,5,0,0
CUST_000032,53,Sekondi-Takoradi,69,Postpaid,551,9.47,44,70.89,0,6,1,17,0,0
CUST_000033,53,Accra,17,Postpaid,452,9.56,51,66.82,1,0,0,17,0,0
CUST_000034,18,Ho,13,Postpaid,1710,11.73,47,133.66,1,1,2,12,0,0
CUST_000035,18,Kumasi,24,Postpaid,369,1.37,37,44.89,0,0,0,3,0,0
CUST_000036,23,Tema,5,Prepaid,667,0.21,42,57.97,0,0,1,12,0,0
CUST_000037,26,Kumasi,49,Prepaid,499,12.68,36,73.91,1,0,0,11,0,0
CUST_000038,45,Accra,54,Prepaid,150,3.58,51,39.76,0,1,0,8,0,0
CUST_000039,25,Kumasi,53,Postpaid,284,4.5,54,48.6,0,0,1,10,0,0
